date,actHumidityOutdoor,actTempOutdoor,rainHourly,relativePressure,solarRadiation,uvRadiation,uvRadiationIndex,windDirection,windSpeed
2016.04.14 00:06:53,95.0,8.1,0.0,29.96,0.0,2.0,0.0,95.0,0.0
2016.04.14 00:21:53,96.0,8.0,0.0,29.96,0.0,2.0,0.0,96.0,0.0
2016.04.14 00:36:54,96.0,8.0,0.0,29.95,0.0,2.0,0.0,96.0,0.0
2016.04.14 00:51:54,97.0,8.0,0.0,29.95,0.0,2.0,0.0,97.0,0.0
2016.04.14 01:06:54,97.0,8.0,0.0,29.96,0.0,2.0,0.0,97.0,0.0
2016.04.14 01:21:54,97.0,8.0,0.0,29.96,0.0,2.0,0.0,97.0,0.0
2016.04.14 01:36:54,98.0,8.0,0.0,29.95,0.0,2.0,0.0,98.0,0.0
2016.04.14 01:51:54,97.0,8.1,0.0,29.95,0.0,2.0,0.0,97.0,1.8
2016.04.14 02:06:54,96.0,8.1,0.0,29.96,0.0,2.0,0.0,96.0,0.0
2016.04.14 02:21:54,97.0,8.0,0.0,29.95,0.0,2.0,0.0,97.0,0.0
2016.04.14 02:36:54,97.0,7.8,0.0,29.95,0.0,2.0,0.0,97.0,0.0
2016.04.14 02:51:54,97.0,7.7,0.0,29.96,0.0,2.0,0.0,97.0,0.0
2016.04.14 03:06:54,96.0,7.8,0.0,29.96,0.0,2.0,0.0,96.0,2.2
2016.04.14 03:21:55,89.0,8.2,0.0,29.95,0.0,2.0,0.0,89.0,4.0
2016.04.14 03:36:55,88.0,8.5,0.0,29.96,0.0,2.0,0.0,88.0,3.2
2016.04.14 03:51:55,88.0,8.4,0.0,29.95,0.0,2.0,0.0,88.0,6.8
2016.04.14 04:06:55,89.0,8.4,1.8,29.96,0.0,2.0,0.0,89.0,9.0
2016.04.14 04:21:55,91.0,8.3,0.0,29.96,0.0,2.0,0.0,91.0,4.7
2016.04.14 04:36:55,91.0,8.3,0.0,29.96,0.0,2.0,0.0,91.0,6.5
2016.04.14 04:51:55,92.0,8.2,0.0,29.96,0.0,2.0,0.0,92.0,9.4
2016.04.14 05:06:55,93.0,8.1,0.0,29.97,0.0,2.0,0.0,93.0,6.5
2016.04.14 05:21:55,93.0,8.1,0.0,29.96,0.0,2.0,0.0,93.0,9.7
2016.04.14 05:36:55,93.0,8.1,0.0,29.97,0.0,2.0,0.0,93.0,5.4
2016.04.14 05:51:56,92.0,8.1,0.0,29.97,0.0,2.0,0.0,92.0,5.8
2016.04.14 06:06:56,92.0,8.0,0.0,29.97,0.0,3.0,0.0,92.0,2.2
2016.04.14 06:21:56,92.0,8.0,0.0,29.98,0.0,3.0,0.0,92.0,7.9
2016.04.14 06:36:56,92.0,8.0,0.0,29.98,0.0,6.0,0.0,92.0,1.8
2016.04.14 06:51:56,92.0,7.9,0.0,29.99,7.46,47.0,0.0,92.0,4.7
2016.04.14 07:06:56,91.0,7.9,0.0,29.99,9.51,56.0,0.0,91.0,6.5
2016.04.14 07:21:56,90.0,7.8,0.0,30.0,15.79,73.0,0.0,90.0,5.4
2016.04.14 07:36:56,90.0,7.8,0.0,30.01,46.42,210.0,1.0,90.0,6.5
2016.04.14 07:51:56,91.0,7.8,0.0,30.01,62.86,271.0,1.0,91.0,7.2
2016.04.14 08:06:56,90.0,7.9,0.0,30.01,65.27,202.0,1.0,90.0,2.2
2016.04.14 08:21:57,88.0,8.1,0.0,30.01,58.07,211.0,1.0,88.0,1.8
2016.04.14 08:36:57,89.0,8.1,0.0,30.02,58.05,216.0,1.0,89.0,2.2
2016.04.14 08:51:57,89.0,8.1,0.0,30.02,76.24,309.0,1.0,89.0,4.7
2016.04.14 09:06:57,88.0,8.1,0.0,30.03,107.87,453.0,1.0,88.0,2.2
2016.04.14 09:21:57,86.0,8.3,0.0,30.03,215.96,881.0,2.0,86.0,4.3
2016.04.14 09:36:57,85.0,8.8,0.0,30.04,121.59,516.0,1.0,85.0,7.9
2016.04.14 09:51:57,83.0,8.9,0.0,30.04,159.55,721.0,2.0,83.0,6.8
2016.04.14 10:06:57,83.0,8.9,0.0,30.04,75.24,284.0,1.0,83.0,14.0
2016.04.14 10:21:57,81.0,8.9,0.0,30.05,189.33,870.0,2.0,81.0,5.4
2016.04.14 10:36:57,79.0,9.1,0.0,30.05,94.47,318.0,1.0,79.0,2.2
2016.04.14 10:51:57,81.0,9.2,0.0,30.06,65.94,257.0,1.0,81.0,18.0
2016.04.14 11:06:58,82.0,9.0,0.0,30.06,31.39,124.0,1.0,82.0,3.2
2016.04.14 11:21:58,83.0,8.6,0.0,30.07,130.46,683.0,2.0,83.0,0.7
2016.04.14 11:36:58,81.0,8.6,0.0,30.07,206.41,1069.0,3.0,81.0,1.8
2016.04.14 11:51:58,79.0,9.1,0.0,30.06,327.91,1620.0,4.0,79.0,3.2
2016.04.14 12:06:58,77.0,9.7,0.0,30.07,259.46,1286.0,3.0,77.0,2.2
2016.04.14 12:21:58,75.0,10.0,0.0,30.07,231.88,1087.0,3.0,75.0,5.4
2016.04.14 12:36:58,76.0,10.0,0.0,30.07,229.4,1082.0,3.0,76.0,9.4
2016.04.14 12:51:58,74.0,9.9,0.0,30.07,144.89,586.0,2.0,74.0,6.8
2016.04.14 13:06:58,74.0,9.9,0.0,30.07,184.45,821.0,2.0,74.0,2.2
2016.04.14 13:21:58,78.0,9.9,0.0,30.08,148.14,673.0,2.0,78.0,13.0
2016.04.14 13:36:59,77.0,9.9,0.0,30.08,236.92,1261.0,3.0,77.0,13.0
2016.04.14 13:51:59,76.0,10.0,0.0,30.08,256.75,1207.0,3.0,76.0,10.4
2016.04.14 14:06:59,74.0,10.3,0.0,30.09,352.22,1474.0,4.0,74.0,14.0
2016.04.14 14:21:59,75.0,10.3,0.0,30.09,163.85,685.0,2.0,75.0,9.7
