date,actHumidityOutdoor,actTempOutdoor,rainHourly,relativePressure,solarRadiation,uvRadiation,uvRadiationIndex,windDirection,windSpeed
2017.01.01 00:17:33,75.58,-6.78,0.0,1021.58,0.0,2.0,0.0,202.25,0.0
2017.01.01 01:17:33,72.33,-7.7,0.0,1020.81,0.0,2.0,0.0,262.5,0.0
2017.01.01 02:17:33,74.17,-7.2,0.0,1020.04,0.0,2.0,0.0,302.08,0.0
2017.01.01 03:17:33,71.92,-7.73,0.0,1019.56,0.0,2.0,0.0,266.83,0.0
2017.01.01 04:17:33,72.08,-8.13,0.0,1018.86,0.0,2.0,0.0,220.75,0.0
2017.01.01 05:17:33,71.92,-8.14,0.0,1018.15,0.0,2.0,0.0,276.58,0.0
2017.01.01 06:17:33,71.92,-8.18,0.0,1017.83,0.0,2.0,0.0,298.67,0.0
2017.01.01 07:17:33,71.92,-8.49,0.0,1017.53,0.0,2.0,0.0,329.58,0.0
2017.01.01 08:17:33,71.42,-8.87,0.0,1017.08,2.81,11.17,0.0,319.08,0.0
2017.01.01 09:17:33,74.5,-7.68,0.0,1016.96,29.66,108.83,0.58,265.08,0.0
2017.01.01 10:17:34,73.33,-2.06,0.0,1016.7,60.92,358.08,1.0,132.83,0.0
2017.01.01 11:17:34,63.75,1.39,0.0,1016.22,86.43,531.5,1.42,228.08,0.0
2017.01.01 12:17:34,61.83,3.84,0.0,1015.48,85.97,623.75,2.0,175.08,0.0
2017.01.01 13:17:34,57.75,5.15,0.0,1014.57,86.35,563.17,1.67,201.5,0.06
2017.01.01 14:17:34,60.75,4.64,0.0,1013.97,107.49,381.0,1.0,230.42,0.0
2017.01.01 15:17:34,61.5,3.56,0.0,1013.7,177.34,259.83,1.0,185.0,0.58
2017.01.01 16:17:34,61.25,3.63,0.0,1013.57,101.8,101.92,0.5,331.58,0.0
2017.01.01 17:17:34,75.0,-1.46,0.0,1013.23,2.01,7.08,0.0,187.92,0.0
2017.01.01 18:17:34,78.25,-3.02,0.0,1013.07,0.0,2.0,0.0,112.0,0.0
2017.01.01 19:17:34,78.58,-3.58,0.0,1012.97,0.0,1.92,0.0,230.83,0.0
2017.01.01 20:17:34,79.67,-4.38,0.0,1012.93,0.0,2.0,0.0,282.83,0.03
2017.01.01 21:17:35,79.08,-4.62,0.0,1012.97,0.0,1.92,0.0,94.08,0.0
2017.01.01 22:17:35,79.0,-5.28,0.0,1012.93,0.0,2.0,0.0,125.17,0.0
2017.01.01 23:17:35,78.17,-5.93,0.0,1012.75,0.0,1.83,0.0,259.75,0.0
2017.01.02 00:17:35,78.33,-5.69,0.0,1012.93,0.0,2.0,0.0,130.92,0.39
2017.01.02 01:17:35,77.17,-5.9,0.0,1012.86,0.0,2.0,0.0,239.08,0.12
2017.01.02 02:17:35,78.0,-6.33,0.0,1012.59,0.0,2.0,0.0,283.33,0.0
2017.01.02 03:17:35,77.42,-6.21,0.0,1012.77,0.0,2.0,0.0,286.75,0.0
2017.01.02 04:17:35,77.17,-6.14,0.0,1012.69,0.0,2.0,0.0,114.83,0.06
2017.01.02 05:17:35,75.75,-5.64,0.0,1012.42,0.0,2.0,0.0,241.92,0.0
2017.01.02 06:17:35,75.33,-5.88,0.0,1012.43,0.0,2.0,0.0,218.5,0.0
2017.01.02 07:17:36,76.67,-6.06,0.0,1012.5,0.0,2.0,0.0,231.08,0.0
2017.01.02 08:17:36,77.08,-5.82,0.0,1012.6,2.9,11.0,0.0,295.42,0.0
2017.01.02 09:17:36,75.33,-5.12,0.0,1012.87,30.8,107.42,0.58,190.5,0.0
2017.01.02 10:17:36,71.67,-1.87,0.0,1013.13,60.39,353.17,1.0,200.83,0.03
2017.01.02 11:17:36,64.25,-0.61,0.0,1012.97,87.1,527.92,1.33,147.5,0.51
2017.01.02 12:17:36,66.17,-1.27,0.0,1012.79,115.51,595.58,1.92,89.0,1.38
2017.01.02 13:17:36,72.42,-3.18,0.0,1013.13,56.5,235.58,1.08,94.75,0.36
2017.01.02 14:17:36,78.08,-2.35,0.0,1013.16,45.86,207.33,1.0,239.5,3.43
2017.01.02 15:17:36,78.08,-1.38,0.0,1013.09,21.64,96.0,0.5,205.25,2.74
2017.01.02 16:17:36,77.42,-1.09,0.0,1013.08,3.43,21.75,0.0,226.0,0.33
2017.01.02 17:17:37,76.17,-0.72,0.0,1013.44,0.0,2.75,0.0,240.83,1.32
2017.01.02 18:17:37,81.67,-0.78,0.0,1013.88,0.0,1.92,0.0,231.17,1.04
2017.01.02 19:17:37,82.58,-0.76,0.0,1014.31,0.0,1.92,0.0,257.0,1.54
2017.01.02 20:17:37,82.75,-0.9,0.0,1014.79,0.0,1.92,0.0,237.17,4.24
2017.01.02 21:17:37,83.42,-0.94,0.0,1015.22,0.0,1.92,0.0,259.75,2.97
2017.01.02 22:17:37,84.0,-0.98,0.0,1015.66,0.0,2.0,0.0,239.92,3.03
2017.01.02 23:17:37,84.0,-0.92,0.0,1016.02,0.0,2.0,0.0,260.17,0.0
2017.01.03 00:17:37,84.67,-1.02,0.0,1016.36,0.0,2.0,0.0,274.17,0.0
2017.01.03 01:17:37,83.92,-1.22,0.0,1016.67,0.0,2.0,0.0,254.92,0.0
2017.01.03 02:17:37,83.0,-1.39,0.0,1017.09,0.0,1.92,0.0,245.92,0.0
2017.01.03 03:17:37,83.0,-1.53,0.0,1017.45,0.0,2.0,0.0,237.08,0.0
2017.01.03 04:17:38,82.92,-1.57,0.0,1017.82,0.0,2.0,0.0,236.33,0.0
2017.01.03 05:17:38,82.0,-1.56,0.0,1017.96,0.0,2.0,0.0,235.25,0.0
2017.01.03 06:17:38,82.33,-1.54,0.0,1018.01,0.0,1.75,0.0,235.5,0.0
2017.01.03 07:17:38,83.0,-1.6,0.0,1018.38,0.0,1.92,0.0,247.5,0.0
2017.01.03 08:17:38,82.0,-1.6,0.0,1018.68,0.92,5.0,0.0,239.5,0.0
2017.01.03 09:17:38,81.08,-1.47,0.0,1019.21,18.45,46.83,0.0,247.58,0.0
2017.01.03 10:17:38,80.42,-1.25,0.0,1019.66,48.16,135.0,0.58,242.5,0.0
2017.01.03 11:17:38,75.08,-0.92,0.0,1019.95,79.95,253.42,1.0,250.58,0.0
2017.01.03 12:17:38,75.33,-0.83,0.0,1019.52,84.12,276.42,1.0,258.42,0.0
2017.01.03 13:17:38,71.5,-0.28,0.0,1019.04,118.82,529.67,1.67,247.92,0.0
2017.01.03 14:17:39,68.75,0.0,0.0,1018.73,103.82,486.5,1.08,254.42,0.0
2017.01.03 15:17:39,65.0,-0.06,0.0,1018.03,85.98,314.5,1.0,230.08,0.58
2017.01.03 16:17:39,66.17,-0.56,0.15,1017.78,42.63,123.92,0.58,236.33,2.85
2017.01.03 17:17:39,68.67,-2.09,0.0,1017.58,1.78,8.67,0.0,241.25,0.69
2017.01.03 18:17:39,74.08,-4.18,0.0,1017.33,0.0,1.83,0.0,215.25,0.28
2017.01.03 19:17:39,73.67,-3.77,0.0,1017.05,0.0,1.92,0.0,210.58,3.89
2017.01.03 20:17:39,72.75,-3.49,0.0,1016.58,0.0,2.0,0.0,216.17,4.63
2017.01.03 21:17:39,70.75,-2.02,0.0,1016.23,0.0,2.0,0.0,212.17,9.68
2017.01.03 22:17:39,65.58,-1.38,0.0,1015.41,0.0,2.0,0.0,212.08,10.84
2017.01.03 23:17:39,63.92,-1.0,0.0,1014.63,0.0,2.0,0.0,214.25,8.82
2017.01.04 00:17:39,63.17,-1.35,0.0,1013.91,0.0,2.0,0.0,221.5,1.89
2017.01.04 01:17:40,57.17,-0.3,0.0,1012.98,0.0,2.0,0.0,216.17,1.56
2017.01.04 02:17:40,57.83,-0.67,0.0,1012.02,0.0,2.0,0.0,217.42,4.1
2017.01.04 03:17:40,57.08,0.23,0.0,1011.81,0.0,2.0,0.0,246.0,8.35
2017.01.04 04:17:40,61.42,-0.17,0.0,1010.75,0.0,2.0,0.0,233.58,6.23
2017.01.04 05:17:40,50.42,0.59,0.0,1009.65,0.0,1.92,0.0,230.67,10.98
2017.01.04 06:17:40,50.75,0.56,0.0,1008.95,0.0,2.0,0.0,239.92,14.55
2017.01.04 07:17:40,49.58,0.81,0.0,1008.41,0.0,2.0,0.0,235.33,21.0
2017.01.04 08:17:40,54.75,0.9,0.0,1007.88,0.74,7.75,0.0,244.5,22.27
2017.01.04 09:17:40,64.67,0.87,0.0,1007.35,13.02,49.58,0.0,239.42,21.43
2017.01.04 10:17:40,69.0,1.06,0.0,1006.89,28.97,111.08,0.67,240.67,18.47
2017.01.04 11:17:41,69.5,1.04,0.0,1006.56,50.9,181.0,1.0,248.75,18.53
2017.01.04 12:17:41,70.0,1.29,0.0,1005.73,53.3,194.42,1.0,232.17,21.98
2017.01.04 13:17:41,76.25,0.96,0.0,1005.35,57.36,203.83,1.0,246.0,18.88
2017.01.04 14:17:41,83.67,0.21,0.0,1005.22,31.92,123.42,0.83,256.75,13.76
2017.01.04 15:17:41,84.67,0.2,0.0,1004.77,19.62,76.67,0.17,240.08,14.11
2017.01.04 16:17:41,85.0,0.2,0.0,1004.69,10.17,38.0,0.0,242.08,13.93
2017.01.04 17:17:41,85.0,0.18,0.0,1005.03,0.45,5.08,0.0,249.17,13.02
2017.01.04 18:17:41,84.0,0.09,0.0,1005.37,0.0,2.0,0.0,244.75,10.33
2017.01.04 19:17:41,83.08,0.0,0.0,1005.43,0.0,2.0,0.0,240.42,3.3
2017.01.04 20:17:41,83.92,-0.07,0.0,1005.82,0.0,2.0,0.0,238.92,0.0
2017.01.04 21:17:42,81.5,-0.24,0.0,1005.94,0.0,2.0,0.0,238.83,0.0
2017.01.04 21:18:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.01.04 22:18:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.01.04 23:18:34,70.0,-0.5,0.0,838.58,0.0,1.67,0.0,215.58,0.0
2017.01.05 00:18:34,84.0,-0.6,0.0,1006.36,0.0,1.92,0.0,239.58,0.0
2017.01.05 01:18:34,83.58,-0.6,0.0,1006.35,0.0,2.0,0.0,264.92,0.0
2017.01.05 02:18:34,82.5,-0.76,0.0,1006.82,0.0,2.0,0.0,243.33,0.0
2017.01.05 03:18:34,80.42,-0.88,0.0,1006.94,0.0,2.0,0.0,250.67,2.94
2017.01.05 04:18:34,77.58,-1.13,0.0,1006.88,0.0,1.75,0.0,250.42,12.13
2017.01.05 05:18:34,79.33,-2.93,0.0,1008.17,0.0,2.0,0.0,273.0,6.27
2017.01.05 06:18:34,73.42,-3.59,0.0,1009.52,0.0,2.0,0.0,262.17,11.24
2017.01.05 07:18:34,67.25,-4.38,0.0,1010.93,0.0,2.0,0.0,262.5,7.48
2017.01.05 08:18:34,63.17,-4.66,0.0,1012.25,0.88,7.17,0.0,243.67,7.43
2017.01.05 09:18:34,75.83,-4.89,0.0,1013.01,17.45,62.25,0.17,252.08,6.02
2017.01.05 10:18:35,77.42,-4.68,0.0,1013.7,72.32,227.0,0.83,269.92,4.96
2017.01.05 11:18:35,72.25,-4.07,0.0,1014.26,133.52,534.17,1.25,281.58,4.42
2017.01.05 12:18:35,66.58,-3.57,0.0,1014.49,134.15,573.42,1.67,258.25,3.35
2017.01.05 13:18:35,67.83,-3.54,0.0,1014.89,126.67,494.42,1.0,251.17,3.52
2017.01.05 14:18:35,65.5,-3.18,0.0,1015.65,114.25,415.42,1.0,245.92,0.89
2017.01.05 15:18:35,65.08,-3.31,0.0,1016.63,74.8,253.25,1.0,236.67,1.06
2017.01.05 16:18:35,67.0,-3.88,0.0,1017.58,25.6,81.33,0.33,261.08,0.12
2017.01.05 17:18:35,67.0,-4.27,0.0,1018.41,1.2,7.17,0.0,274.92,0.18
2017.01.05 18:18:35,70.08,-4.65,0.0,1019.27,0.0,2.0,0.0,283.0,0.03
2017.01.05 19:18:35,71.92,-4.79,0.0,1020.19,0.0,2.0,0.0,275.92,0.15
2017.01.05 20:18:36,72.92,-5.0,0.0,1020.93,0.0,2.0,0.0,232.5,0.06
2017.01.05 21:18:36,72.67,-5.2,0.0,1021.8,0.0,2.0,0.0,162.17,0.75
2017.01.05 21:37:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.01.05 22:37:42,71.4,-6.0,0.0,1022.7,0.0,2.0,0.0,225.9,1.0
2017.01.05 23:37:42,73.0,-6.5,0.0,1023.4,0.0,2.0,0.0,264.7,0.0
2017.01.06 00:37:43,70.3,-6.8,0.0,1024.0,0.0,2.0,0.0,146.2,0.0
2017.01.06 01:37:43,66.4,-8.0,0.0,1024.6,0.0,2.0,0.0,225.5,0.0
2017.01.06 02:37:43,68.3,-10.4,0.0,1025.5,0.0,2.0,0.0,229.0,0.0
